                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93597,                 1.3812,                0.96543,                0.82656,                 0.9057,                0.90133,                0.77636,                0.57737,                0.56671,                0.83139,             0.00041643,             0.00041643,             0.00041643
                      2,                0.63735,                0.65558,                 0.8609,                0.83876,                0.94391,                 0.9143,                0.82053,                0.48038,                0.47804,                 0.8095,              0.0008001,              0.0008001,              0.0008001
                      3,                0.57948,                0.57566,                 0.8479,                0.83781,                0.94673,                   0.92,                0.83557,                 0.4448,                0.44589,                0.80296,              0.0011508,              0.0011508,              0.0011508
                      4,                0.53862,                0.53142,                0.83891,                0.83638,                  0.951,                0.91863,                0.84452,                0.41022,                 0.4295,                0.79768,              0.0011015,              0.0011015,              0.0011015
                      5,                0.50996,                 0.5056,                 0.8323,                0.81541,                0.95802,                  0.914,                0.83672,                0.41967,                0.41951,                0.79733,               0.001052,               0.001052,               0.001052
                      6,                0.48613,                0.48892,                0.82865,                0.84904,                0.95902,                0.92597,                0.86952,                0.37085,                0.39129,                0.79154,              0.0010025,              0.0010025,              0.0010025
                      7,                 0.4686,                0.46858,                0.82394,                  0.855,                0.95658,                0.92959,                0.87784,                0.35452,                0.38119,                0.78863,               0.000953,               0.000953,               0.000953
                      8,                 0.4558,                0.46013,                0.82327,                0.85626,                 0.9684,                0.93277,                0.88446,                0.34312,                0.36407,                0.78679,              0.0009035,              0.0009035,              0.0009035
                      9,                0.44187,                0.44627,                0.81965,                0.86342,                 0.9662,                 0.9368,                0.89028,                0.33969,                0.35601,                0.78541,               0.000854,               0.000854,               0.000854
                     10,                0.42723,                 0.4359,                0.81808,                0.85785,                0.97146,                0.93204,                0.88625,                0.34082,                 0.3546,                0.78606,              0.0008045,              0.0008045,              0.0008045
                     11,                0.41696,                0.42652,                0.81604,                 0.8702,                0.97252,                 0.9347,                0.89596,                0.32376,                0.33691,                0.78398,               0.000755,               0.000755,               0.000755
                     12,                0.41013,                0.41915,                0.81328,                0.87026,                0.96924,                0.93442,                0.89417,                0.32734,                0.34072,                0.78407,              0.0007055,              0.0007055,              0.0007055
                     13,                0.40387,                0.41291,                0.81307,                0.86478,                0.97157,                0.93406,                0.89957,                0.31258,                0.33658,                0.78159,               0.000656,               0.000656,               0.000656
                     14,                0.39332,                0.39999,                0.81103,                0.87061,                0.97398,                 0.9368,                0.90181,                0.31334,                0.32438,                 0.7821,              0.0006065,              0.0006065,              0.0006065
                     15,                0.38734,                0.39194,                 0.8095,                0.87656,                0.97407,                0.93907,                0.90402,                 0.3142,                0.31944,                0.78154,               0.000557,               0.000557,               0.000557
                     16,                0.35178,                0.35741,                0.79371,                0.86636,                0.97274,                0.93475,                0.90069,                 0.3014,                0.32132,                0.78003,              0.0005075,              0.0005075,              0.0005075
                     17,                0.33674,                0.34755,                0.79166,                0.87238,                0.97527,                0.93803,                0.90721,                0.29306,                0.31365,                 0.7794,               0.000458,               0.000458,               0.000458
                     18,                0.33002,                0.33963,                0.79115,                0.87666,                0.97302,                0.94117,                0.91206,                0.28933,                0.30533,                0.77932,              0.0004085,              0.0004085,              0.0004085
                     19,                0.32459,                0.33255,                 0.7898,                0.87461,                0.97236,                0.94129,                0.91308,                0.28667,                  0.304,                0.77842,               0.000359,               0.000359,               0.000359
                     20,                0.31602,                0.32712,                0.78781,                0.88163,                0.97334,                0.94294,                 0.9173,                0.27991,                0.30013,                0.77745,              0.0003095,              0.0003095,              0.0003095
                     21,                0.30876,                0.31989,                0.78755,                0.88504,                0.96954,                0.94376,                0.91774,                0.27761,                 0.2953,                0.77732,                0.00026,                0.00026,                0.00026
                     22,                0.30356,                0.31437,                0.78627,                0.88269,                0.97439,                0.94344,                0.91869,                0.27413,                0.29038,                 0.7767,              0.0002105,              0.0002105,              0.0002105
                     23,                0.29687,                0.30828,                0.78569,                0.88316,                0.97093,                0.94335,                0.91941,                0.27483,                0.28966,                0.77669,               0.000161,               0.000161,               0.000161
                     24,                0.29095,                 0.3027,                0.78455,                0.88635,                 0.9689,                0.94577,                0.92238,                0.26857,                0.28605,                0.77603,              0.0001115,              0.0001115,              0.0001115
                     25,                0.28452,                0.29743,                0.78326,                0.88401,                0.97272,                0.94598,                0.92288,                0.26892,                0.28425,                0.77585,                6.2e-05,                6.2e-05,                6.2e-05
